brand,model_name,model_norm,product_type,car_year,vehicle_age,car_price,brand_origin,segment,brand_tier,rv_grade,risk_grade,profit_grade,brand_delinquency_rate,model_delinquency_rate,model_profit_rate,reference_new_price,brand_reference_new_price,brand_new_obs,implied_residual_ratio
BMW,740Li,740LI,Used Car,2016,8.0,95000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.7524752475247525
BMW,740Li,740LI,Used Car,2016,8.0,91000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.7207920792079208
BMW,740Li,740LI,Used Car,2016,8.0,55000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.43564356435643564
BMW,630i GT,630I GT,New Car,2018,6.0,115800.0,Europe,Gran turismo,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.9172277227722773
BMW,X3 xDrive 30i,X3 XDRIVE 30I,New Car,2018,6.0,102800.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.8142574257425742
BMW,X3 xDrive 30i,X3 XDRIVE 30I,New Car,2018,6.0,102500.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.8118811881188119
BMW,X3 xDrive 30i,X3 XDRIVE 30I,New Car,2018,6.0,102800.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.8142574257425742
BMW,530i,530I,New Car,2018,6.0,100168.0,Europe,Sedan,Unknown,Unknown,Unknown,Best,0.26723390805580904,,0.1251905992687715,126250.0,126250.0,6.0,0.793409900990099
BMW,630i GT,630I GT,New Car,2018,6.0,118000.0,Europe,Gran turismo,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.9346534653465347
BMW,X4 xdrive,X4 XDRIVE,New Car,2018,6.0,102500.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.8118811881188119
BMW,X5,X5,New Car,2018,6.0,130000.0,Europe,SUV D-seg,Unknown,Unknown,A,Best,0.26723390805580904,1.2565007530502046e-05,0.18075939713517403,126250.0,126250.0,6.0,1.0297029702970297
BMW,X4 xdrive,X4 XDRIVE,New Car,2018,6.0,99999.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.7920712871287129
BMW,X3 xDrive 20i,X3 XDRIVE 20I,New Car,2018,6.0,79999.0,Europe,SUV D-seg,Unknown,Unknown,Unknown,Unknown,0.26723390805580904,,0.0,126250.0,126250.0,6.0,0.6336554455445544
BMW,X3 xDrive 20i,X3 XDRIVE 20I,New Car,2018,6.0,79999.0,Europe,SUV D-seg,Unknown,Unknown,Unknown,Unknown,0.26723390805580904,,0.0,126250.0,126250.0,6.0,0.6336554455445544
BMW,630I,630I,Used Car,2018,6.0,58000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.4594059405940594
BMW,X3 xDrive 20d,X3 XDRIVE 20D,New Car,2019,5.0,102800.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.8142574257425742
BMW,530i,530I,New Car,2019,5.0,120000.0,Europe,Sedan,Unknown,Unknown,Unknown,Best,0.26723390805580904,,0.1251905992687715,126250.0,126250.0,6.0,0.9504950495049505
BMW,X3 30i Xline,X3 30I XLINE,New Car,2019,5.0,95000.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.7524752475247525
BMW,740Li,740LI,New Car,2020,4.0,180000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,1.4257425742574257
BMW,X4 xdrive,X4 XDRIVE,New Car,2020,4.0,123000.0,Europe,SUV,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.9742574257425742
BMW,X6,X6,New Car,2020,4.0,175000.0,Europe,SUV C-seg,Unknown,Unknown,A,Best,0.26723390805580904,0.00045956635029514165,0.11094838083685613,126250.0,126250.0,6.0,1.386138613861386
